Country,Date,Forecast Active Cases,Forecast Active Cases Lower Bound,Forecast Active Cases Upper Bound,Forecast Confirmed Cases,Forecast Confirmed Cases Lower Bound,Forecast Confirmed Cases Upper Bound,Forecast New Cases,Forecast New Cases Lower Bound,Forecast New Cases Upper Bound,Lang,Lat,Province,uid
Afghanistan,2020-01-22,0,0,0,0,0,0,0,0,0,65.0,33.0,,Afghanistan
Saudi Arabia,2020-01-22,0,0,0,0,0,0,0,0,0,45.0,24.0,,Saudi Arabia
San Marino,2020-01-22,0,0,0,0,0,0,0,0,0,12.4578,43.9424,,San Marino
Australia,2020-01-22,0,0,0,0,0,0,0,0,0,115.8605,-31.9505,Western Australia,Australia - Western Australia
Russia,2020-01-22,0,0,0,0,0,0,0,0,0,90.0,60.0,,Russia
Romania,2020-01-22,0,0,0,0,0,0,0,0,0,24.9668,45.9432,,Romania
Austria,2020-01-22,0,0,0,0,0,0,0,0,0,14.5501,47.5162,,Austria
Qatar,2020-01-22,0,0,0,0,0,0,0,0,0,51.1839,25.3548,,Qatar
Portugal,2020-01-22,0,0,0,0,0,0,0,0,0,-8.2245,39.3999,,Portugal
Poland,2020-01-22,0,0,0,0,0,0,0,0,0,19.1451,51.9194,,Poland
Azerbaijan,2020-01-22,0,0,0,0,0,0,0,0,0,47.5769,40.1431,,Azerbaijan
Philippines,2020-01-22,0,0,0,0,0,0,0,0,0,122.0,13.0,,Philippines
Peru,2020-01-22,0,0,0,0,0,0,0,0,0,-75.0152,-9.19,,Peru
Bahrain,2020-01-22,0,0,0,0,0,0,0,0,0,50.55,26.0275,,Bahrain
Panama,2020-01-22,0,0,0,0,0,0,0,0,0,-80.7821,8.538,,Panama
Pakistan,2020-01-22,0,0,0,0,0,0,0,0,0,69.3451,30.3753,,Pakistan
Belgium,2020-01-22,0,0,0,0,0,0,0,0,0,4.0,50.8333,,Belgium
Oman,2020-01-22,0,0,0,0,0,0,0,0,0,57.0,21.0,,Oman
Norway,2020-01-22,0,0,0,0,0,0,0,0,0,8.4689,60.472,,Norway
Bosnia and Herzegovina,2020-01-22,0,0,0,0,0,0,0,0,0,17.6791,43.9159,,Bosnia and Herzegovina
North Macedonia,2020-01-22,0,0,0,0,0,0,0,0,0,21.7453,41.6086,,North Macedonia
New Zealand,2020-01-22,0,0,0,0,0,0,0,0,0,174.886,-40.9006,,New Zealand
Brazil,2020-01-22,0,0,0,0,0,0,0,0,0,-51.9253,-14.235,,Brazil
Netherlands,2020-01-22,0,0,0,0,0,0,0,0,0,5.2913,52.1326,,Netherlands
Morocco,2020-01-22,0,0,0,0,0,0,0,0,0,-7.0926,31.7917,,Morocco
Australia,2020-01-22,0,0,0,0,0,0,0,0,0,144.9631,-37.8136,Victoria,Australia - Victoria
Senegal,2020-01-22,0,0,0,0,0,0,0,0,0,-14.4524,14.4974,,Senegal
Serbia,2020-01-22,0,0,0,0,0,0,0,0,0,21.0059,44.0165,,Serbia
Singapore,2020-01-22,0,0,0,0,0,0,0,0,0,103.8333,1.2833,,Singapore
US,2020-01-22,1,1,1,1,1,1,0,0,0,-95.7129,37.0902,,US
Uruguay,2020-01-22,0,0,0,0,0,0,0,0,0,-55.7658,-32.5228,,Uruguay
